"condition","model","id","trial","context","L_index","M_index","H_index","left_index","middle_index","right_index","choice_idx","accuracy","L_outcome","M_outcome","H_outcome","left_outcome","middle_outcome","right_outcome"
"standard prompt","gpt-3.5-turbo-0125",27,1,0,0,-99,1,1,-99,0,0,1,15,0,51,51,0,15
"standard prompt","gpt-3.5-turbo-0125",27,2,3,7,8,9,7,9,8,0,0,10,50,89,10,89,50
"standard prompt","gpt-3.5-turbo-0125",27,3,1,2,3,4,2,3,4,1,0,12,33,53,12,33,53
"standard prompt","gpt-3.5-turbo-0125",27,4,3,7,8,9,7,9,8,1,1,16,49,82,16,82,49
"standard prompt","gpt-3.5-turbo-0125",27,5,2,5,-99,6,6,-99,5,1,0,10,0,84,84,0,10
"standard prompt","gpt-3.5-turbo-0125",27,6,1,2,3,4,2,4,3,1,1,14,31,50,14,50,31
"standard prompt","gpt-3.5-turbo-0125",27,7,2,5,-99,6,6,-99,5,0,1,16,0,86,86,0,16
"standard prompt","gpt-3.5-turbo-0125",27,8,1,2,3,4,2,3,4,2,1,14,29,50,14,29,50
"standard prompt","gpt-3.5-turbo-0125",27,9,1,2,3,4,2,3,4,2,1,12,29,48,12,29,48
"standard prompt","gpt-3.5-turbo-0125",27,10,1,2,3,4,4,2,3,0,1,15,30,51,51,15,30
"standard prompt","gpt-3.5-turbo-0125",27,11,3,7,8,9,8,9,7,1,1,10,52,84,52,84,10
"standard prompt","gpt-3.5-turbo-0125",27,12,1,2,3,4,4,2,3,0,1,17,33,50,50,17,33
"standard prompt","gpt-3.5-turbo-0125",27,13,3,7,8,9,9,7,8,0,1,14,48,87,87,14,48
"standard prompt","gpt-3.5-turbo-0125",27,14,2,5,-99,6,5,-99,6,1,1,13,0,87,13,0,87
"standard prompt","gpt-3.5-turbo-0125",27,15,0,0,-99,1,0,-99,1,1,1,15,0,51,15,0,51
"standard prompt","gpt-3.5-turbo-0125",27,16,2,5,-99,6,6,-99,5,0,1,11,0,86,86,0,11
"standard prompt","gpt-3.5-turbo-0125",27,17,0,0,-99,1,1,-99,0,0,1,14,0,47,47,0,14
"standard prompt","gpt-3.5-turbo-0125",27,18,0,0,-99,1,1,-99,0,0,1,10,0,50,50,0,10
"standard prompt","gpt-3.5-turbo-0125",27,19,1,2,3,4,3,2,4,2,1,10,32,49,32,10,49
"standard prompt","gpt-3.5-turbo-0125",27,20,0,0,-99,1,1,-99,0,0,1,11,0,50,50,0,11
"standard prompt","gpt-3.5-turbo-0125",27,21,0,0,-99,1,1,-99,0,0,1,13,0,51,51,0,13
"standard prompt","gpt-3.5-turbo-0125",27,22,1,2,3,4,3,2,4,2,1,14,29,51,29,14,51
"standard prompt","gpt-3.5-turbo-0125",27,23,1,2,3,4,2,3,4,2,1,12,35,48,12,35,48
"standard prompt","gpt-3.5-turbo-0125",27,24,1,2,3,4,3,2,4,2,1,15,31,49,31,15,49
"standard prompt","gpt-3.5-turbo-0125",27,25,0,0,-99,1,0,-99,1,1,1,16,0,48,16,0,48
"standard prompt","gpt-3.5-turbo-0125",27,26,0,0,-99,1,0,-99,1,1,1,16,0,49,16,0,49
"standard prompt","gpt-3.5-turbo-0125",27,27,3,7,8,9,9,7,8,0,1,9,49,86,86,9,49
"standard prompt","gpt-3.5-turbo-0125",27,28,3,7,8,9,7,9,8,1,1,15,51,84,15,84,51
"standard prompt","gpt-3.5-turbo-0125",27,29,2,5,-99,6,5,-99,6,1,1,17,0,85,17,0,85
"standard prompt","gpt-3.5-turbo-0125",27,30,2,5,-99,6,6,-99,5,0,1,14,0,85,85,0,14
"standard prompt","gpt-3.5-turbo-0125",27,31,3,7,8,9,7,8,9,2,1,12,48,86,12,48,86
"standard prompt","gpt-3.5-turbo-0125",27,32,2,5,-99,6,6,-99,5,0,1,15,0,83,83,0,15
"standard prompt","gpt-3.5-turbo-0125",27,33,1,2,3,4,4,2,3,0,1,11,32,53,53,11,32
"standard prompt","gpt-3.5-turbo-0125",27,34,3,7,8,9,8,9,7,1,1,11,50,87,50,87,11
"standard prompt","gpt-3.5-turbo-0125",27,35,1,2,3,4,3,4,2,1,1,11,31,47,31,47,11
"standard prompt","gpt-3.5-turbo-0125",27,36,0,0,-99,1,0,-99,1,1,1,15,0,51,15,0,51
"standard prompt","gpt-3.5-turbo-0125",27,37,0,0,-99,1,0,-99,1,1,1,15,0,51,15,0,51
"standard prompt","gpt-3.5-turbo-0125",27,38,3,7,8,9,7,8,9,2,1,14,48,88,14,48,88
"standard prompt","gpt-3.5-turbo-0125",27,39,3,7,8,9,9,8,7,0,1,13,48,90,90,48,13
"standard prompt","gpt-3.5-turbo-0125",27,40,2,5,-99,6,6,-99,5,0,1,13,0,79,79,0,13
"standard prompt","gpt-3.5-turbo-0125",27,41,3,7,8,9,8,9,7,1,1,15,48,83,48,83,15
"standard prompt","gpt-3.5-turbo-0125",27,42,2,5,-99,6,5,-99,6,1,1,13,0,84,13,0,84
"standard prompt","gpt-3.5-turbo-0125",27,43,2,5,-99,6,6,-99,5,0,1,13,0,83,83,0,13
"standard prompt","gpt-3.5-turbo-0125",27,44,0,0,-99,1,1,-99,0,0,1,15,0,48,48,0,15
"standard prompt","gpt-3.5-turbo-0125",27,45,0,0,-99,1,0,-99,1,1,1,17,0,50,17,0,50
"standard prompt","gpt-3.5-turbo-0125",27,46,3,7,8,9,7,8,9,2,1,14,51,88,14,51,88
"standard prompt","gpt-3.5-turbo-0125",27,47,3,7,8,9,8,9,7,1,1,12,47,88,47,88,12
"standard prompt","gpt-3.5-turbo-0125",27,48,3,7,8,9,7,8,9,2,1,14,47,81,14,47,81
"standard prompt","gpt-3.5-turbo-0125",27,49,1,2,3,4,3,4,2,1,1,16,30,49,30,49,16
"standard prompt","gpt-3.5-turbo-0125",27,50,2,5,-99,6,6,-99,5,0,1,12,0,84,84,0,12
"standard prompt","gpt-3.5-turbo-0125",27,51,2,5,-99,6,6,-99,5,0,1,15,0,82,82,0,15
"standard prompt","gpt-3.5-turbo-0125",27,52,2,5,-99,6,6,-99,5,0,1,12,0,81,81,0,12
"standard prompt","gpt-3.5-turbo-0125",27,53,0,0,-99,1,0,-99,1,1,1,16,0,52,16,0,52
"standard prompt","gpt-3.5-turbo-0125",27,54,2,5,-99,6,5,-99,6,1,1,11,0,85,11,0,85
"standard prompt","gpt-3.5-turbo-0125",27,55,3,7,8,9,7,8,9,2,1,16,49,85,16,49,85
"standard prompt","gpt-3.5-turbo-0125",27,56,2,5,-99,6,5,-99,6,1,1,14,0,86,14,0,86
"standard prompt","gpt-3.5-turbo-0125",27,57,1,2,3,4,4,3,2,0,1,16,31,51,51,31,16
"standard prompt","gpt-3.5-turbo-0125",27,58,1,2,3,4,3,4,2,1,1,14,32,48,32,48,14
"standard prompt","gpt-3.5-turbo-0125",27,59,0,0,-99,1,0,-99,1,1,1,12,0,54,12,0,54
"standard prompt","gpt-3.5-turbo-0125",27,0,99,0,-99,1,0,-99,1,1,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",27,1,99,0,-99,2,0,-99,2,0,0,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",27,2,99,0,-99,3,3,-99,0,0,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",27,3,99,0,-99,4,4,-99,0,0,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",27,4,99,0,-99,5,0,-99,5,0,0,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",27,5,99,0,-99,6,6,-99,0,0,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",27,6,99,0,-99,7,0,-99,7,0,0,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",27,7,99,0,-99,8,0,-99,8,0,0,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",27,8,99,0,-99,9,9,-99,0,0,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",27,9,99,1,-99,2,2,-99,1,1,0,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",27,10,99,1,-99,3,1,-99,3,0,0,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",27,11,99,1,-99,4,1,-99,4,0,0,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",27,12,99,1,-99,5,1,-99,5,0,0,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",27,13,99,1,-99,6,6,-99,1,0,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",27,14,99,1,-99,7,7,-99,1,1,0,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",27,15,99,1,-99,8,8,-99,1,0,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",27,16,99,1,-99,9,1,-99,9,1,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",27,17,99,2,-99,3,2,-99,3,1,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",27,18,99,2,-99,4,2,-99,4,1,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",27,19,99,2,-99,5,5,-99,2,0,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",27,20,99,2,-99,6,6,-99,2,0,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",27,21,99,2,-99,7,7,-99,2,1,0,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",27,22,99,2,-99,8,8,-99,2,0,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",27,23,99,2,-99,9,2,-99,9,1,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",27,24,99,3,-99,4,3,-99,4,1,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",27,25,99,3,-99,5,5,-99,3,0,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",27,26,99,3,-99,6,3,-99,6,0,0,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",27,27,99,3,-99,7,7,-99,3,0,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",27,28,99,3,-99,8,3,-99,8,0,0,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",27,29,99,3,-99,9,9,-99,3,0,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",27,30,99,4,-99,5,4,-99,5,0,0,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",27,31,99,4,-99,6,4,-99,6,0,0,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",27,32,99,4,-99,7,7,-99,4,1,0,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",27,33,99,4,-99,8,8,-99,4,0,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",27,34,99,4,-99,9,9,-99,4,0,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",27,35,99,5,-99,6,5,-99,6,1,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",27,36,99,5,-99,7,7,-99,5,0,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",27,37,99,5,-99,8,5,-99,8,0,0,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",27,38,99,5,-99,9,9,-99,5,0,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",27,39,99,6,-99,7,7,-99,6,1,0,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",27,40,99,6,-99,8,6,-99,8,0,0,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",27,41,99,6,-99,9,6,-99,9,1,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",27,42,99,7,-99,8,8,-99,7,0,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",27,43,99,7,-99,9,9,-99,7,0,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",27,44,99,8,-99,9,8,-99,9,1,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",28,0,3,7,8,9,7,8,9,0,0,11,50,86,11,50,86
"standard prompt","gpt-3.5-turbo-0125",28,1,1,2,3,4,4,3,2,2,0,13,32,49,49,32,13
"standard prompt","gpt-3.5-turbo-0125",28,2,2,5,-99,6,5,-99,6,0,0,12,0,86,12,0,86
"standard prompt","gpt-3.5-turbo-0125",28,3,3,7,8,9,7,9,8,1,1,15,49,84,15,84,49
"standard prompt","gpt-3.5-turbo-0125",28,4,3,7,8,9,9,8,7,0,1,16,53,88,88,53,16
"standard prompt","gpt-3.5-turbo-0125",28,5,3,7,8,9,7,8,9,2,1,11,48,86,11,48,86
"standard prompt","gpt-3.5-turbo-0125",28,6,3,7,8,9,9,8,7,0,1,15,48,86,86,48,15
"standard prompt","gpt-3.5-turbo-0125",28,7,1,2,3,4,2,4,3,1,1,13,32,51,13,51,32
"standard prompt","gpt-3.5-turbo-0125",28,8,3,7,8,9,9,8,7,0,1,13,45,85,85,45,13
"standard prompt","gpt-3.5-turbo-0125",28,9,1,2,3,4,3,4,2,1,1,14,34,53,34,53,14
"standard prompt","gpt-3.5-turbo-0125",28,10,0,0,-99,1,1,-99,0,0,1,15,0,51,51,0,15
"standard prompt","gpt-3.5-turbo-0125",28,11,1,2,3,4,4,2,3,0,1,12,33,52,52,12,33
"standard prompt","gpt-3.5-turbo-0125",28,12,0,0,-99,1,0,-99,1,1,1,14,0,49,14,0,49
"standard prompt","gpt-3.5-turbo-0125",28,13,0,0,-99,1,0,-99,1,1,1,16,0,52,16,0,52
"standard prompt","gpt-3.5-turbo-0125",28,14,1,2,3,4,3,2,4,2,1,15,34,48,34,15,48
"standard prompt","gpt-3.5-turbo-0125",28,15,2,5,-99,6,5,-99,6,1,1,13,0,87,13,0,87
"standard prompt","gpt-3.5-turbo-0125",28,16,0,0,-99,1,1,-99,0,0,1,16,0,52,52,0,16
"standard prompt","gpt-3.5-turbo-0125",28,17,2,5,-99,6,5,-99,6,1,1,15,0,90,15,0,90
"standard prompt","gpt-3.5-turbo-0125",28,18,2,5,-99,6,5,-99,6,1,1,14,0,86,14,0,86
"standard prompt","gpt-3.5-turbo-0125",28,19,0,0,-99,1,1,-99,0,0,1,11,0,46,46,0,11
"standard prompt","gpt-3.5-turbo-0125",28,20,0,0,-99,1,0,-99,1,1,1,16,0,50,16,0,50
"standard prompt","gpt-3.5-turbo-0125",28,21,2,5,-99,6,6,-99,5,0,1,17,0,89,89,0,17
"standard prompt","gpt-3.5-turbo-0125",28,22,2,5,-99,6,5,-99,6,1,1,17,0,89,17,0,89
"standard prompt","gpt-3.5-turbo-0125",28,23,0,0,-99,1,1,-99,0,0,1,15,0,46,46,0,15
"standard prompt","gpt-3.5-turbo-0125",28,24,3,7,8,9,9,8,7,0,1,12,48,84,84,48,12
"standard prompt","gpt-3.5-turbo-0125",28,25,2,5,-99,6,5,-99,6,1,1,13,0,86,13,0,86
"standard prompt","gpt-3.5-turbo-0125",28,26,3,7,8,9,7,8,9,2,1,10,51,83,10,51,83
"standard prompt","gpt-3.5-turbo-0125",28,27,3,7,8,9,9,8,7,0,1,17,49,84,84,49,17
"standard prompt","gpt-3.5-turbo-0125",28,28,1,2,3,4,2,4,3,1,1,10,30,48,10,48,30
"standard prompt","gpt-3.5-turbo-0125",28,29,3,7,8,9,9,7,8,0,1,11,49,88,88,11,49
"standard prompt","gpt-3.5-turbo-0125",28,30,2,5,-99,6,5,-99,6,1,1,15,0,86,15,0,86
"standard prompt","gpt-3.5-turbo-0125",28,31,1,2,3,4,2,4,3,1,1,16,28,48,16,48,28
"standard prompt","gpt-3.5-turbo-0125",28,32,1,2,3,4,2,3,4,2,1,12,30,50,12,30,50
"standard prompt","gpt-3.5-turbo-0125",28,33,0,0,-99,1,0,-99,1,1,1,13,0,47,13,0,47
"standard prompt","gpt-3.5-turbo-0125",28,34,2,5,-99,6,6,-99,5,0,1,13,0,88,88,0,13
"standard prompt","gpt-3.5-turbo-0125",28,35,1,2,3,4,4,2,3,0,1,12,28,51,51,12,28
"standard prompt","gpt-3.5-turbo-0125",28,36,3,7,8,9,9,7,8,0,1,11,50,85,85,11,50
"standard prompt","gpt-3.5-turbo-0125",28,37,3,7,8,9,7,8,9,2,1,15,47,87,15,47,87
"standard prompt","gpt-3.5-turbo-0125",28,38,1,2,3,4,3,4,2,1,1,10,33,50,33,50,10
"standard prompt","gpt-3.5-turbo-0125",28,39,2,5,-99,6,5,-99,6,1,1,14,0,87,14,0,87
"standard prompt","gpt-3.5-turbo-0125",28,40,0,0,-99,1,1,-99,0,0,1,10,0,48,48,0,10
"standard prompt","gpt-3.5-turbo-0125",28,41,3,7,8,9,9,7,8,0,1,12,48,84,84,12,48
"standard prompt","gpt-3.5-turbo-0125",28,42,2,5,-99,6,5,-99,6,1,1,14,0,89,14,0,89
"standard prompt","gpt-3.5-turbo-0125",28,43,3,7,8,9,9,7,8,0,1,14,50,87,87,14,50
"standard prompt","gpt-3.5-turbo-0125",28,44,0,0,-99,1,0,-99,1,1,1,13,0,50,13,0,50
"standard prompt","gpt-3.5-turbo-0125",28,45,0,0,-99,1,1,-99,0,0,1,16,0,49,49,0,16
"standard prompt","gpt-3.5-turbo-0125",28,46,2,5,-99,6,5,-99,6,1,1,17,0,84,17,0,84
"standard prompt","gpt-3.5-turbo-0125",28,47,2,5,-99,6,5,-99,6,1,1,10,0,87,10,0,87
"standard prompt","gpt-3.5-turbo-0125",28,48,0,0,-99,1,1,-99,0,0,1,16,0,50,50,0,16
"standard prompt","gpt-3.5-turbo-0125",28,49,1,2,3,4,4,3,2,0,1,8,36,50,50,36,8
"standard prompt","gpt-3.5-turbo-0125",28,50,2,5,-99,6,6,-99,5,0,1,13,0,83,83,0,13
"standard prompt","gpt-3.5-turbo-0125",28,51,0,0,-99,1,0,-99,1,1,1,14,0,46,14,0,46
"standard prompt","gpt-3.5-turbo-0125",28,52,0,0,-99,1,0,-99,1,1,1,12,0,51,12,0,51
"standard prompt","gpt-3.5-turbo-0125",28,53,1,2,3,4,2,3,4,2,1,13,34,47,13,34,47
"standard prompt","gpt-3.5-turbo-0125",28,54,1,2,3,4,4,2,3,0,1,15,30,53,53,15,30
"standard prompt","gpt-3.5-turbo-0125",28,55,0,0,-99,1,1,-99,0,0,1,13,0,50,50,0,13
"standard prompt","gpt-3.5-turbo-0125",28,56,1,2,3,4,4,2,3,0,1,14,29,49,49,14,29
"standard prompt","gpt-3.5-turbo-0125",28,57,2,5,-99,6,5,-99,6,1,1,15,0,83,15,0,83
"standard prompt","gpt-3.5-turbo-0125",28,58,1,2,3,4,3,2,4,2,1,12,27,48,27,12,48
"standard prompt","gpt-3.5-turbo-0125",28,59,3,7,8,9,8,7,9,2,1,15,52,89,52,15,89
"standard prompt","gpt-3.5-turbo-0125",28,0,99,0,-99,1,1,-99,0,0,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",28,1,99,0,-99,2,2,-99,0,0,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",28,2,99,0,-99,3,3,-99,0,0,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",28,3,99,0,-99,4,4,-99,0,0,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",28,4,99,0,-99,5,5,-99,0,0,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",28,5,99,0,-99,6,0,-99,6,1,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",28,6,99,0,-99,7,7,-99,0,0,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",28,7,99,0,-99,8,0,-99,8,0,0,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",28,8,99,0,-99,9,9,-99,0,0,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",28,9,99,1,-99,2,1,-99,2,0,0,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",28,10,99,1,-99,3,3,-99,1,0,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",28,11,99,1,-99,4,4,-99,1,0,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",28,12,99,1,-99,5,5,-99,1,1,0,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",28,13,99,1,-99,6,1,-99,6,0,0,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",28,14,99,1,-99,7,7,-99,1,0,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",28,15,99,1,-99,8,8,-99,1,0,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",28,16,99,1,-99,9,1,-99,9,1,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",28,17,99,2,-99,3,3,-99,2,0,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",28,18,99,2,-99,4,4,-99,2,0,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",28,19,99,2,-99,5,5,-99,2,0,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",28,20,99,2,-99,6,6,-99,2,0,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",28,21,99,2,-99,7,7,-99,2,0,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",28,22,99,2,-99,8,2,-99,8,1,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",28,23,99,2,-99,9,9,-99,2,0,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",28,24,99,3,-99,4,4,-99,3,0,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",28,25,99,3,-99,5,3,-99,5,0,0,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",28,26,99,3,-99,6,6,-99,3,0,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",28,27,99,3,-99,7,3,-99,7,0,0,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",28,28,99,3,-99,8,3,-99,8,1,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",28,29,99,3,-99,9,3,-99,9,1,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",28,30,99,4,-99,5,5,-99,4,0,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",28,31,99,4,-99,6,4,-99,6,0,0,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",28,32,99,4,-99,7,4,-99,7,0,0,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",28,33,99,4,-99,8,8,-99,4,0,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",28,34,99,4,-99,9,4,-99,9,1,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",28,35,99,5,-99,6,5,-99,6,1,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",28,36,99,5,-99,7,7,-99,5,0,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",28,37,99,5,-99,8,5,-99,8,1,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",28,38,99,5,-99,9,5,-99,9,1,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",28,39,99,6,-99,7,6,-99,7,0,0,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",28,40,99,6,-99,8,6,-99,8,0,0,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",28,41,99,6,-99,9,6,-99,9,1,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",28,42,99,7,-99,8,8,-99,7,0,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",28,43,99,7,-99,9,7,-99,9,1,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",28,44,99,8,-99,9,8,-99,9,1,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",29,0,2,5,-99,6,5,-99,6,0,0,16,0,88,16,0,88
"standard prompt","gpt-3.5-turbo-0125",29,1,1,2,3,4,3,4,2,0,0,12,30,49,30,49,12
"standard prompt","gpt-3.5-turbo-0125",29,2,2,5,-99,6,5,-99,6,1,1,14,0,87,14,0,87
"standard prompt","gpt-3.5-turbo-0125",29,3,3,7,8,9,9,8,7,1,0,15,52,86,86,52,15
"standard prompt","gpt-3.5-turbo-0125",29,4,1,2,3,4,3,4,2,1,1,14,30,50,30,50,14
"standard prompt","gpt-3.5-turbo-0125",29,5,1,2,3,4,3,2,4,2,1,17,30,50,30,17,50
"standard prompt","gpt-3.5-turbo-0125",29,6,0,0,-99,1,1,-99,0,1,0,14,0,52,52,0,14
"standard prompt","gpt-3.5-turbo-0125",29,7,2,5,-99,6,5,-99,6,1,1,15,0,86,15,0,86
"standard prompt","gpt-3.5-turbo-0125",29,8,2,5,-99,6,6,-99,5,0,1,17,0,84,84,0,17
"standard prompt","gpt-3.5-turbo-0125",29,9,1,2,3,4,3,2,4,2,1,15,32,48,32,15,48
"standard prompt","gpt-3.5-turbo-0125",29,10,0,0,-99,1,0,-99,1,1,1,14,0,52,14,0,52
"standard prompt","gpt-3.5-turbo-0125",29,11,1,2,3,4,4,2,3,0,1,13,35,50,50,13,35
"standard prompt","gpt-3.5-turbo-0125",29,12,3,7,8,9,8,7,9,2,1,14,49,84,49,14,84
"standard prompt","gpt-3.5-turbo-0125",29,13,3,7,8,9,8,7,9,2,1,13,48,87,48,13,87
"standard prompt","gpt-3.5-turbo-0125",29,14,3,7,8,9,7,8,9,2,1,14,52,84,14,52,84
"standard prompt","gpt-3.5-turbo-0125",29,15,1,2,3,4,2,3,4,1,0,16,32,48,16,32,48
"standard prompt","gpt-3.5-turbo-0125",29,16,0,0,-99,1,1,-99,0,0,1,16,0,50,50,0,16
"standard prompt","gpt-3.5-turbo-0125",29,17,0,0,-99,1,0,-99,1,1,1,16,0,51,16,0,51
"standard prompt","gpt-3.5-turbo-0125",29,18,2,5,-99,6,6,-99,5,0,1,14,0,87,87,0,14
"standard prompt","gpt-3.5-turbo-0125",29,19,3,7,8,9,9,7,8,0,1,16,50,87,87,16,50
"standard prompt","gpt-3.5-turbo-0125",29,20,2,5,-99,6,6,-99,5,0,1,13,0,88,88,0,13
"standard prompt","gpt-3.5-turbo-0125",29,21,1,2,3,4,2,4,3,2,0,17,30,52,17,52,30
"standard prompt","gpt-3.5-turbo-0125",29,22,0,0,-99,1,1,-99,0,0,1,16,0,49,49,0,16
"standard prompt","gpt-3.5-turbo-0125",29,23,2,5,-99,6,6,-99,5,0,1,14,0,87,87,0,14
"standard prompt","gpt-3.5-turbo-0125",29,24,3,7,8,9,8,7,9,2,1,13,46,85,46,13,85
"standard prompt","gpt-3.5-turbo-0125",29,25,1,2,3,4,4,3,2,0,1,10,30,52,52,30,10
"standard prompt","gpt-3.5-turbo-0125",29,26,1,2,3,4,3,4,2,1,1,14,35,50,35,50,14
"standard prompt","gpt-3.5-turbo-0125",29,27,3,7,8,9,9,8,7,0,1,19,48,82,82,48,19
"standard prompt","gpt-3.5-turbo-0125",29,28,2,5,-99,6,6,-99,5,0,1,11,0,86,86,0,11
"standard prompt","gpt-3.5-turbo-0125",29,29,3,7,8,9,9,7,8,0,1,14,48,86,86,14,48
"standard prompt","gpt-3.5-turbo-0125",29,30,0,0,-99,1,0,-99,1,1,1,14,0,50,14,0,50
"standard prompt","gpt-3.5-turbo-0125",29,31,3,7,8,9,7,8,9,2,1,11,47,86,11,47,86
"standard prompt","gpt-3.5-turbo-0125",29,32,2,5,-99,6,5,-99,6,1,1,17,0,85,17,0,85
